open_time,open,high,low,close,volume,amount,close_time
1675569600000,23344.7600000000000000000000000000,23376.0300000000000000000000000000,23327.5300000000000000000000000000,23364.2100000000000000000000000000,1403.73177500,32774638.580000000000000000,1675573200000
1675573200000,23364.2100000000000000000000000000,23387.6100000000000000000000000000,23360.6700000000000000000000000000,23375.2600000000000000000000000000,177.67123800,4152885.890000000000000000,1675576800000
1675576800000,23375.2600000000000000000000000000,23426.0100000000000000000000000000,23343.8300000000000000000000000000,23392.7600000000000000000000000000,507.89489400,11878037.930000000000000000,1675580400000
1675580400000,23392.7600000000000000000000000000,23402.6900000000000000000000000000,23363.3000000000000000000000000000,23376.9400000000000000000000000000,2026.26564700,47379827.890000000000000000,1675584000000
1675584000000,23376.9400000000000000000000000000,23416.4800000000000000000000000000,23366.4000000000000000000000000000,23393.1600000000000000000000000000,1314.26871200,30738319.650000000000000000,1675587600000
1675587600000,23393.1600000000000000000000000000,23396.2000000000000000000000000000,23357.1400000000000000000000000000,23362.4300000000000000000000000000,171.68057400,4013234.820000000000000000,1675591200000
1675591200000,23362.4300000000000000000000000000,23403.1600000000000000000000000000,23360.0600000000000000000000000000,23394.8400000000000000000000000000,514.03682600,12019238.770000000000000000,1675594800000
1675594800000,23394.8400000000000000000000000000,23401.9200000000000000000000000000,23347.7300000000000000000000000000,23356.0700000000000000000000000000,2250.67227800,52611793.010000000000000000,1675598400000
1675598400000,23356.0700000000000000000000000000,23374.3300000000000000000000000000,23012.5000000000000000000000000000,23163.1000000000000000000000000000,6299.31300200,145868593.670000000000000000,1675602000000
1675602000000,23163.1000000000000000000000000000,23217.0700000000000000000000000000,23070.4400000000000000000000000000,23165.4400000000000000000000000000,831.25527400,19228948.810000000000000000,1675605600000
1675605600000,23165.4400000000000000000000000000,23207.5500000000000000000000000000,23142.2100000000000000000000000000,23161.6100000000000000000000000000,407.29024600,9439146.640000000000000000,1675609200000
1675609200000,23161.6100000000000000000000000000,23201.8000000000000000000000000000,23063.7100000000000000000000000000,23096.4100000000000000000000000000,583.70450400,13515828.080000000000000000,1675612800000
1675612800000,23096.4100000000000000000000000000,23156.1800000000000000000000000000,23005.3000000000000000000000000000,23074.0700000000000000000000000000,1154.07539600,26627683.650000000000000000,1675616400000
1675616400000,23074.1100000000000000000000000000,23101.2300000000000000000000000000,22815.6000000000000000000000000000,22850.7300000000000000000000000000,8189.24030200,188408778.340000000000000000,1675620000000
1675620000000,22850.7300000000000000000000000000,22932.8600000000000000000000000000,22820.6800000000000000000000000000,22843.3700000000000000000000000000,1884.29222000,43107793.250000000000000000,1675623600000
1675623600000,22843.3800000000000000000000000000,22914.9100000000000000000000000000,22757.8100000000000000000000000000,22895.2000000000000000000000000000,1214.00823900,27757608.780000000000000000,1675627200000
1675627200000,22895.2000000000000000000000000000,22938.6200000000000000000000000000,22853.7100000000000000000000000000,22886.9900000000000000000000000000,616.39812400,14107463.190000000000000000,1675630800000
1675630800000,22886.9900000000000000000000000000,22896.4000000000000000000000000000,22798.4500000000000000000000000000,22895.1000000000000000000000000000,760.03299700,17375264.270000000000000000,1675634400000
1675634400000,22895.1000000000000000000000000000,23029.3000000000000000000000000000,22890.9400000000000000000000000000,22982.6600000000000000000000000000,3509.02968100,80604161.160000000000000000,1675638000000
1675638000000,22982.6600000000000000000000000000,23004.0300000000000000000000000000,22906.1800000000000000000000000000,22928.7200000000000000000000000000,2601.12848500,59680181.140000000000000000,1675641600000
1675641600000,22928.7200000000000000000000000000,23092.1700000000000000000000000000,22921.0400000000000000000000000000,23052.9500000000000000000000000000,571.42330500,13152977.000000000000000000,1675645200000
1675645200000,23052.9500000000000000000000000000,23065.2500000000000000000000000000,22966.0500000000000000000000000000,22978.4100000000000000000000000000,254.26333400,5850351.310000000000000000,1675648800000
1675648800000,22978.4100000000000000000000000000,23003.0900000000000000000000000000,22871.0900000000000000000000000000,22878.3800000000000000000000000000,1084.00475300,24886199.120000000000000000,1675652400000
1675652400000,22878.9700000000000000000000000000,22923.7800000000000000000000000000,22834.0000000000000000000000000000,22894.3000000000000000000000000000,2385.54207400,54626755.630000000000000000,1675656000000
1675656000000,22894.3000000000000000000000000000,22925.7100000000000000000000000000,22869.9300000000000000000000000000,22873.2300000000000000000000000000,483.59632500,11074939.100000000000000000,1675659600000
1675659600000,22873.2300000000000000000000000000,22887.4200000000000000000000000000,22645.3500000000000000000000000000,22775.2300000000000000000000000000,687.17263900,15633130.230000000000000000,1675663200000
1675663200000,22775.2300000000000000000000000000,22800.7500000000000000000000000000,22720.3000000000000000000000000000,22781.2000000000000000000000000000,1370.02412400,31188220.410000000000000000,1675666800000
1675666800000,22781.2000000000000000000000000000,22886.8200000000000000000000000000,22755.2600000000000000000000000000,22881.3400000000000000000000000000,585.19937100,13356271.550000000000000000,1675670400000
1675670400000,22881.3400000000000000000000000000,22933.1600000000000000000000000000,22835.6000000000000000000000000000,22862.5300000000000000000000000000,652.95840300,14937113.770000000000000000,1675674000000
1675674000000,22862.5300000000000000000000000000,22881.3500000000000000000000000000,22816.6700000000000000000000000000,22835.9700000000000000000000000000,992.14110800,22668910.180000000000000000,1675677600000
1675677600000,22835.9700000000000000000000000000,22869.5200000000000000000000000000,22805.3500000000000000000000000000,22842.9500000000000000000000000000,3401.61235800,77684462.070000000000000000,1675681200000
1675681200000,22842.9500000000000000000000000000,22892.8500000000000000000000000000,22737.7100000000000000000000000000,22878.5200000000000000000000000000,3170.34169100,72290606.290000000000000000,1675684800000
1675684800000,22878.5200000000000000000000000000,22932.9800000000000000000000000000,22829.0800000000000000000000000000,22885.6900000000000000000000000000,2925.88198500,66946304.080000000000000000,1675688400000
1675688400000,22885.6900000000000000000000000000,22921.7700000000000000000000000000,22807.8200000000000000000000000000,22828.3600000000000000000000000000,1971.60875700,45083430.850000000000000000,1675692000000
1675692000000,22828.3600000000000000000000000000,22898.4600000000000000000000000000,22780.3600000000000000000000000000,22839.8400000000000000000000000000,3006.58484200,68639946.180000000000000000,1675695600000
1675695600000,22839.8400000000000000000000000000,23050.0000000000000000000000000000,22750.0000000000000000000000000000,23045.0500000000000000000000000000,5713.60852900,130715344.900000000000000000,1675699200000
1675699200000,23045.0500000000000000000000000000,23152.2400000000000000000000000000,22923.1500000000000000000000000000,22999.3000000000000000000000000000,7520.83770300,173188370.340000000000000000,1675702800000
1675702800000,22999.3000000000000000000000000000,23069.1100000000000000000000000000,22954.2400000000000000000000000000,23036.0300000000000000000000000000,2481.91999300,57121285.040000000000000000,1675706400000
1675706400000,23036.0300000000000000000000000000,23075.1300000000000000000000000000,22957.0400000000000000000000000000,23018.2500000000000000000000000000,2035.76576300,46856698.200000000000000000,1675710000000
1675710000000,23018.2500000000000000000000000000,23123.7800000000000000000000000000,22983.4800000000000000000000000000,23030.5400000000000000000000000000,3421.43889300,78862397.720000000000000000,1675713600000
1675713600000,23030.5400000000000000000000000000,23030.7300000000000000000000000000,22966.6900000000000000000000000000,23005.7600000000000000000000000000,3146.05265400,72361261.180000000000000000,1675717200000
1675717200000,23005.7600000000000000000000000000,23010.6800000000000000000000000000,22902.6300000000000000000000000000,22916.6400000000000000000000000000,1306.05581600,29988706.630000000000000000,1675720800000
1675720800000,22916.6400000000000000000000000000,22925.2600000000000000000000000000,22845.3300000000000000000000000000,22879.8900000000000000000000000000,1835.68563100,42010118.770000000000000000,1675724400000
1675724400000,22879.8900000000000000000000000000,22889.8800000000000000000000000000,22641.5300000000000000000000000000,22762.1300000000000000000000000000,3958.09523200,90044045.350000000000000000,1675728000000
1675728000000,22761.8800000000000000000000000000,22825.3400000000000000000000000000,22746.3200000000000000000000000000,22795.7600000000000000000000000000,2628.00198800,59903010.940000000000000000,1675731600000
1675731600000,22795.7600000000000000000000000000,22863.0700000000000000000000000000,22791.6500000000000000000000000000,22849.0700000000000000000000000000,1559.91030300,35621767.620000000000000000,1675735200000
1675735200000,22849.0700000000000000000000000000,22888.3600000000000000000000000000,22806.2100000000000000000000000000,22882.2200000000000000000000000000,1594.79766100,36423830.730000000000000000,1675738800000
1675738800000,22882.2200000000000000000000000000,22896.8400000000000000000000000000,22851.1100000000000000000000000000,22877.3200000000000000000000000000,2008.42443200,45939995.090000000000000000,1675742400000
1675742400000,22877.3200000000000000000000000000,22926.8000000000000000000000000000,22863.2900000000000000000000000000,22871.4800000000000000000000000000,1956.99319400,44783484.880000000000000000,1675746000000
1675746000000,22871.4800000000000000000000000000,22947.7800000000000000000000000000,22866.6100000000000000000000000000,22936.3400000000000000000000000000,1821.17787400,41728203.640000000000000000,1675749600000
1675749600000,22936.3400000000000000000000000000,22985.3100000000000000000000000000,22921.6000000000000000000000000000,22926.9800000000000000000000000000,1662.39320900,38142630.330000000000000000,1675753200000
1675753200000,22926.9800000000000000000000000000,22960.4000000000000000000000000000,22894.7200000000000000000000000000,22911.8900000000000000000000000000,1685.64446500,38639834.590000000000000000,1675756800000
1675756800000,22911.8900000000000000000000000000,22920.7600000000000000000000000000,22863.4100000000000000000000000000,22873.3800000000000000000000000000,2723.11455700,62333898.930000000000000000,1675760400000
